calf,calves
elf,elves
half,halves
hoof,hooves
knife,knives
leaf,leaves
life,lives
loaf,loaves
scarf,scarfs/scarves
self,selves
sheaf,sheaves
shelf,shelves
thief,thieves
wife,wives
wolf,wolves
fireman,firemen
foot,feet
goose,geese
louse,lice
man,men
mouse,mice
tooth,teeth
woman,women
child,children
ox,oxen
die,dice
person,people
auto,autos
kangaroo,kangaroos
kilo,kilos
memo,memos
photo,photos
piano,pianos
pimento,pimentos
pro,pros
solo,solos
soprano,sopranos
studio,studios
tattoo,tattoos
video,videos
zoo,zoos
echo,echoes
embargo,embargoes
hero,heroes
potato,potatoes
tomato,tomatoes
torpedo,torpedoes
veto,vetoes
alga,algae
larva,larvae
vertebra,vertebrae
alumnus,alumni
bacillus,bacilli
focus,foci
fungus,fungi
nucleus,nuclei
radius,radii
stimulus,stimuli
terminus,termini
addendum,addenda
bacterium,bacteria
datum,data
erratum,errata
medium,media
ovum,ova
stratum,strata
analysis,analyses
axis,axes
basis,bases
crisis,crises
diagnosis,diagnoses
emphasis,emphases
hypothesis,hypotheses
neurosis,neuroses
oasis,oases
parenthesis,parentheses
synopsis,synopses
thesis,theses
criterion,criteria
phenomenon,phenomena
automaton,automata
libretto,libretti
tempo,tempi
virtuoso,virtuosi
cherub,cherubim
seraph,seraphim
schema,schemata
